entry_time,exit_time,dir,X,A,B,C,entry,exit,tp_level,sl_level,result,net_points,net_pnl,bars_held
2021-08-19 01:55:00,2021-08-19 02:05:00,1,18233.25,18284.25,18264.25,18301.5,18247.8555,18226.425,18268.347699,18226.425,-1,-22.430500000002212,-448.61000000004424,2
2021-09-01 03:00:00,2021-09-01 05:15:00,-1,19104.0,18989.75,19041.5,18944.5,19069.867,19021.976806,19021.976806,19119.95,1,46.89019399999961,937.8038799999922,27
2021-09-02 09:35:00,2021-09-02 10:00:00,-1,19114.25,19049.75,19081.25,19029.75,19096.167,19070.795706,19070.795706,19122.7,1,24.37129400000049,487.4258800000098,5
2021-09-09 07:55:00,2021-09-09 08:55:00,-1,19050.75,19019.25,19036.0,19008.25,19041.655,19055.0,19028.89429,19055.0,-1,-14.345000000001164,-286.9000000000233,12
2021-09-15 13:50:00,2021-09-15 15:20:00,-1,18925.25,18822.5,18868.5,18784.75,18895.183,18939.3,18852.997594,18939.3,-1,-45.11699999999837,-902.3399999999674,18
2021-09-16 14:15:00,2021-09-16 15:10:00,-1,18936.5,18887.25,18910.75,18869.0,18922.055,18943.25,18901.78799,18943.25,-1,-22.19499999999971,-443.8999999999942,11
2021-09-22 14:15:00,2021-09-22 14:25:00,-1,18663.0,18591.0,18628.25,18569.0,18642.884,18614.660312,18614.660312,18672.4,1,27.22368799999822,544.4737599999644,2
2021-10-18 04:05:00,2021-10-18 05:05:00,-1,18531.75,18487.25,18514.0,18474.75,18519.552,18502.437636,18502.437636,18537.45,1,16.114364000000933,322.28728000001865,12
2021-11-10 23:30:00,2021-11-11 00:25:00,1,19412.0,19464.5,19436.25,19481.0,19426.766,19447.483388,19447.483388,19405.1,1,19.717388000000938,394.34776000001875,11
2021-12-03 00:35:00,2021-12-03 03:35:00,-1,19463.75,19344.75,19402.0,19298.0,19428.2795,19378.512731,19378.512731,19480.325,1,48.76676900000166,975.3353800000332,36
2021-12-13 05:45:00,2021-12-13 06:40:00,-1,19827.0,19801.5,19816.75,19791.25,19819.3495,19808.615491,19808.615491,19830.575,1,9.734008999999787,194.68017999999574,11
2021-12-31 09:50:00,2021-12-31 10:00:00,1,19790.75,19858.75,19825.25,19884.5,19810.8125,19838.961125,19838.961125,19781.375,1,27.14862500000163,542.9725000000326,2
2021-12-31 10:10:00,2021-12-31 10:20:00,1,19790.75,19858.75,19825.25,19884.5,19810.8125,19838.961125,19838.961125,19781.375,1,27.14862500000163,542.9725000000326,2
2021-12-31 10:25:00,2021-12-31 10:55:00,1,19790.75,19858.75,19825.25,19884.5,19810.8125,19781.375,19838.961125,19781.375,-1,-30.4375,-608.75,6
2021-12-31 11:00:00,2021-12-31 11:10:00,1,19790.75,19858.75,19825.25,19884.5,19810.8125,19781.375,19838.961125,19781.375,-1,-30.4375,-608.75,2
2021-12-31 11:20:00,2021-12-31 12:15:00,1,19790.75,19858.75,19825.25,19884.5,19810.8125,19781.375,19838.961125,19781.375,-1,-30.4375,-608.75,11
2022-01-04 10:40:00,2022-01-04 10:55:00,1,19712.5,19864.5,19794.0,19918.5,19756.584,19691.9,19818.435912,19691.9,-1,-65.68399999999747,-1313.6799999999494,3
2022-01-11 02:30:00,2022-01-11 03:15:00,-1,19059.75,19003.0,19035.25,18985.25,19043.807,19021.438226000002,19021.438226000002,19067.2,1,21.368773999998666,427.3754799999733,9
2022-01-13 10:55:00,2022-01-13 11:25:00,1,19150.75,19232.5,19183.75,19258.5,19173.8085,19206.160653,19206.160653,19139.975,1,31.352152999999817,627.0430599999963,6
2022-01-26 14:25:00,2022-01-26 14:30:00,1,17746.25,17969.0,17883.5,18060.25,17813.446,17907.725128,17907.725128,17714.85,1,93.27912799999831,1865.5825599999662,1
2022-01-26 14:35:00,2022-01-26 14:40:00,1,17746.25,17969.0,17883.5,18060.25,17813.446,17907.725128,17907.725128,17714.85,1,93.27912799999831,1865.5825599999662,1
